method,model_name,task_name,seed,train_subset_size,primary_metric_name,primary_metric,trainable_parameters,trainable_percentage,epoch,eval_accuracy,eval_loss,eval_matthews_correlation,eval_primary_metric,eval_runtime,eval_samples_per_second,eval_steps_per_second,eval_f1
topheavy_lora,roberta-base,rte,1024,500,accuracy,0.592057761732852,887042,0.7066137476531099,10.0,0.592057761732852,0.9380795955657959,,0.592057761732852,0.2739,1011.38,65.721,
topheavy_lora,roberta-base,rte,123,500,accuracy,0.5884476534296029,887042,0.7066137476531099,10.0,0.5884476534296029,0.8922435641288757,,0.5884476534296029,0.269,1029.755,66.915,
topheavy_lora,roberta-base,rte,42,500,accuracy,0.6570397111913358,887042,0.7066137476531099,10.0,0.6570397111913358,0.9233918786048889,,0.6570397111913358,0.276,1003.497,65.209,
topheavy_lora,roberta-base,rte,456,500,accuracy,0.631768953068592,887042,0.7066137476531099,10.0,0.631768953068592,0.8627921342849731,,0.631768953068592,0.3026,915.399,59.484,
topheavy_lora,roberta-base,rte,789,500,accuracy,0.5631768953068592,887042,0.7066137476531099,10.0,0.5631768953068592,0.9331879019737244,,0.5631768953068592,0.2781,995.893,64.715,
bitfit,bert-base-uncased,sst2,1024,500,accuracy,0.8153669724770642,104450,0.09540226132861436,10.0,0.8153669724770642,0.437736451625824,,0.8153669724770642,0.6396,1363.272,85.986,
bitfit,bert-base-uncased,sst2,123,500,accuracy,0.8222477064220184,104450,0.09540226132861436,10.0,0.8222477064220184,0.4210148751735687,,0.8222477064220184,0.638,1366.77,86.207,
bitfit,bert-base-uncased,sst2,42,500,accuracy,0.8130733944954128,104450,0.09540226132861436,10.0,0.8130733944954128,0.42107006907463074,,0.8130733944954128,0.8072,1080.308,68.139,
bitfit,bert-base-uncased,sst2,456,500,accuracy,0.7821100917431193,104450,0.09540226132861436,10.0,0.7821100917431193,0.4709261953830719,,0.7821100917431193,0.8141,1071.094,67.558,
bitfit,bert-base-uncased,sst2,789,500,accuracy,0.7924311926605505,104450,0.09540226132861436,10.0,0.7924311926605505,0.43243351578712463,,0.7924311926605505,0.6668,1307.654,82.478,
full_ft,bert-base-uncased,sst2,1024,500,accuracy,0.8532110091743119,109483778,100.0,3.0,0.8532110091743119,0.4294113516807556,,0.8532110091743119,1.0191,855.691,53.971,
full_ft,bert-base-uncased,sst2,123,500,accuracy,0.8474770642201835,109483778,100.0,3.0,0.8474770642201835,0.46000397205352783,,0.8474770642201835,0.746,1168.841,73.723,
full_ft,bert-base-uncased,sst2,42,500,accuracy,0.8612385321100917,109483778,100.0,3.0,0.8612385321100917,0.4265581965446472,,0.8612385321100917,0.7933,1099.148,69.327,
